index,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,danceability_s,energy_s,valence_s,tempo_s,quality_index,hidden_gem,artist_followers,artist_popularity,lastfm_playcount,lastfm_listeners,visibility_score,artist_reach_millions,Hit
90513,73BIHNAuJtxFTbuRK2y2sG,Ramon Marquez,Lo Mejor Para Bailar Con Ramón Márquez,Clases De Cha Cha Chá,32,185817,False,0.78,0.789,8,-7.956,1,0.049,0.842,0.0,0.0612,0.887,128.795,4,rock-n-roll,0.8124477362322302,0.7902654956490173,0.9111824505082933,0.543487267552524,0.8379652274631804,False,6163.0,38.0,1038.0,394.0,0.16839714471122647,0.006163,0
8626,1Ta6e4rjUBexrZ6SQkCNPF,Jesper Munk,Head In The Clouds,Head In The Clouds,36,228905,False,0.594,0.384,5,-11.796,1,0.0418,0.861,0.575,0.126,0.462,77.823,4,blues,0.5902520606857005,0.38188821554253677,0.45639379347244524,0.2374281717034039,0.47617802323356084,False,42387.0,35.0,10402.0,3493.0,0.24539964140794565,0.042387,0
73737,676Oa6y0HElaXvynyUu9im,Alec Troniq,Ipoly Mate 003,At What Cost,19,419091,False,0.803,0.448,1,-10.967,0,0.0574,0.00753,0.208,0.111,0.338,121.013,4,minimal-techno,0.8399235455740055,0.44642190918899294,0.3237025147137507,0.496760596362501,0.5366826564922497,False,34649.0,36.0,1941.0,507.0,0.056017316017316014,0.034649,0
77740,0ONoYJqSkvUFp2wmNvH2kW,Zeca Pagodinho;Xande De Pilares,Mais Feliz,Dependente Do Amor,44,224376,False,0.694,0.566,11,-11.181,0,0.0637,0.271,0.0,0.215,0.887,90.049,4,pagode,0.7097121013021144,0.5654059068496464,0.9111824505082933,0.31083864227256625,0.7287668195533513,False,,,3.0,3.0,1.5,0.0,0
103859,3Zcv9IeYgCvEhxFTfsduaQ,88GLAM,88GLAM2,Lil Boat,63,180813,True,0.764,0.672,6,-4.274,0,0.0655,0.0166,1.06e-06,0.103,0.594,150.021,4,soul,0.7933341297336041,0.6722898369515896,0.5976457998929909,0.6709378358742186,0.6877565888593948,False,459603.0,46.0,775335.0,112519.0,1.6869631247769818,0.459603,0
90136,2u1NjJFN4emN0o6AJHogGU,Ike & Tina Turner,60s Christmas Party,River Deep - Mountain High,0,215720,False,0.377,0.763,3,-6.866,1,0.0387,0.777,0.00125,0.157,0.302,83.267,4,rock-n-roll,0.33102377254808263,0.7640486826051445,0.28517924023542,0.2701164263883802,0.4600838984628824,False,333637.0,50.0,402479.0,115725.0,1.206334410348941,0.333637,0
44678,49t1GWE6ZiEoBgN92oMDdM,Hole,Live Through This,Doll Parts,60,211960,False,0.245,0.542,7,-7.159,1,0.0324,0.147,4.05e-06,0.102,0.365,204.824,4,grunge,0.17333651893441643,0.5412057717322254,0.35259497057249867,1.0000000000000002,0.35571242041304685,False,170850.0,54.0,4930701.0,626014.0,28.859655489285988,0.17085,0
82411,0IjjGQAWS5Xnlp0lHnd3Ko,The Lemonheads,Varshons 2,Things,23,165720,False,0.416,0.606,6,-8.296,0,0.0286,0.0667,0.00357,0.12,0.583,147.178,4,power-pop,0.377613188388484,0.6057394653786816,0.5858747993579454,0.6538671694397242,0.5230758177083703,False,278666.0,51.0,11535.0,3195.0,0.04139349115611106,0.278666,0
61660,1M03pPTmDxCe6PuYTOWY9m,Akina Nakamori,コンプリート・シングル・コレクションズ〜ファースト・テン・イヤーズ<ライノ・プレミアム・エディション>,少女A,20,213813,False,0.588,0.79,0,-5.651,1,0.0449,0.00518,7.9e-05,0.0374,0.655,145.916,4,j-idol,0.5830844582487158,0.7912738346122432,0.6629213483146068,0.6462895468437582,0.6790932137251886,False,575050.0,55.0,12363.0,2296.0,0.02149896270069959,0.57505,0
42136,1jUhGlGqCa3fQAAlAA9c8x,Insult,Emobashing Fastcore Pimps,External,17,59600,False,0.209,0.981,6,-5.707,0,0.163,8.97e-05,0.16,0.225,0.369,95.861,4,grindcore,0.13033090431250743,0.9838665765883858,0.35687533440342434,0.34573653651009056,0.49035760510143916,False,8730.0,18.0,13504.0,4703.0,1.5466727751689382,0.00873,0
10737,2WC9rDC7aw6bzsA9ZwRVqx,Amb,Blood in Blood Out,Right Now,11,194026,False,0.816,0.701,2,-5.911,1,0.368,0.126,0.0,0.29,0.734,93.963,4,breakbeat,0.8554533508541391,0.7015316668851399,0.747458533975388,0.334340080339612,0.7681478505715557,True,271.0,16.0,6610.0,3681.0,24.301470588235293,0.000271,0
71513,2gscB6kDOmrv1P6qs2KXE3,Slipknot,Slipknot (10th Anniversary Edition),Wait and Bleed,73,147840,False,0.382,0.996,7,-4.119,1,0.104,0.00208,0.0,0.417,0.327,93.345,4,metal,0.3369967745789033,0.998991661036774,0.31193151417870524,0.3306293269606048,0.5493066499314608,False,14332635.0,80.0,17823929.0,1577197.0,1.2435904323531275,14.332635,1
97737,2eI1OQTaBJFwmQEEYfy9OU,Calcinha Preta,"Calcinha Preta, Vol. 13 (Ao Vivo)",Declaração de Amor (Ao Vivo),46,198426,False,0.546,0.864,0,-1.314,1,0.0293,0.142,0.0,0.825,0.535,149.785,4,sertanejo,0.532911241189822,0.8658909178909581,0.534510433386838,0.6695207844220412,0.6444375308225393,False,1552369.0,67.0,50190.0,13082.0,0.032331209698718735,1.552369,0
15626,0o9t52kMt1yNHE0IDmdu43,Skinny Atlas;Laeland;Snøw,summer nights,summer nights,54,172137,False,0.521,0.523,6,-7.621,1,0.0362,0.233,0.0,0.403,0.343,145.156,4,chill,0.5030462310357184,0.5220473314309337,0.32905296950240775,0.641726160811322,0.45138217732302,False,,,,,,0.0,0
15859,5siP3no83iDXF2uskNj14a,demxntia,compilation I,ocean of stars,44,237466,False,0.629,0.714,5,-9.183,0,0.209,0.515,0.000129,0.109,0.596,159.952,4,chill,0.6320630749014453,0.7146400734070764,0.5997859818084538,0.7305680815164852,0.6488297100389918,False,155492.0,51.0,42381.0,5192.0,0.27255889332638766,0.155492,0
4411,5rpw2ag9jizRl9VdaLNT61,Tony Anderson,Spiriteaux,Spiriteaux,50,234000,False,0.233,0.0358,0,-28.579,0,0.0373,0.946,0.878,0.108,0.0396,117.497,3,ambient,0.15900131406044676,0.030784588547286048,0.004387372926698781,0.4756489315071783,0.06472442517814386,False,161053.0,58.0,170088.0,46830.0,1.0560929874452047,0.161053,0
42411,4F237kCyNFJq1z6X7QMLVK,Agathocles,Theatric Symbolisation of Life,Kill Your Fucking Idols,15,211213,True,0.223,0.907,7,-8.502,0,0.0657,5.47e-06,0.676,0.0613,0.268,101.825,4,grindcore,0.1470553099988054,0.9092494933096709,0.2487961476725522,0.381547107954102,0.4350336503270095,False,25312.0,20.0,15820.0,4957.0,0.6249753091296962,0.025312,0
29521,6EnHdhpdycjPxayoU5VAU9,MYRNE,What Can I Do,What Can I Do,38,256000,False,0.518,0.812,7,-7.155,1,0.0503,0.215,0.00752,0.144,0.0753,119.968,4,dubstep,0.49946242981722616,0.8134572918032125,0.04258962011771002,0.49048594056790146,0.4518364472460496,False,51195.0,41.0,13064.0,3431.0,0.25517618563950306,0.051195,0
27678,4gzpnqZiNAX35p7bA6dBug,Ed Solo;Deekline;Rubi Dan,"Jungle Cakes, Vol. 19",Zunga,17,272228,False,0.606,0.956,10,-1.643,0,0.0368,0.000866,0.0407,0.0407,0.624,87.498,4,drum-and-bass,0.6045872655596702,0.9586581025077389,0.6297485286249331,0.29552127678737633,0.730997965564114,True,,,,,,0.0,0
9626,2lMiPTcmvli4i8NfHIB4UO,Jota Quest,Acústico Jota Quest,O Que Eu Também Não Entendo - Acústico,46,255686,False,0.632,0.595,2,-9.555,1,0.0335,0.366,1.6e-06,0.107,0.368,108.002,4,brazil,0.6356468761199379,0.5946477367831969,0.3558052434456929,0.4186366283782566,0.5286999521162759,False,2488262.0,64.0,11501.0,3310.0,0.004622099834302082,2.488262,0
11660,4H3KBBAe2Fcgv9lH6E10Oe,Patrick Doyle,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Harry in Winter,55,174440,False,0.175,0.248,11,-16.707,0,0.0423,0.559,0.966,0.189,0.0396,110.447,3,british,0.08971449050292676,0.24475411654381732,0.004387372926698781,0.43331752160102804,0.11295199332448096,False,98366.0,58.0,508090.0,95202.0,5.165248508137892,0.098366,0
49513,4lJAHAMuSCeWzuXhwfutAr,Psyko Punkz,Wietse,Dance,22,176000,True,0.51,0.801,4,-5.767,0,0.0494,0.00836,0.0,0.105,0.0912,150.02,4,hardstyle,0.489905626567913,0.8023655632077278,0.05960406634563939,0.670931831418913,0.45062508537376006,False,100943.0,48.0,5849.0,1070.0,0.05794301791092091,0.100943,0
32737,55kDJdv7pymmG4URJlVTYR,Oliver Koletzki,The Arc of Tension,Tankwa Town,50,453506,False,0.736,0.401,7,-11.285,1,0.0476,0.102,0.293,0.0938,0.0543,100.008,4,electronic,0.7598853183610081,0.3990299779173767,0.02011771000535046,0.37063701266339627,0.39301100209457845,False,368452.0,54.0,109977.0,23307.0,0.2984831172496899,0.368452,0
53660,3jbAzLVcHiI5hYSkcKe1Ty,Martin Garrix;G-Eazy;Sasha Alex Sloan,Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),63,164166,False,0.647,0.642,9,-7.306,0,0.0743,0.262,0.0,0.134,0.48,90.045,4,house,0.6535658822124,0.6420396680548132,0.47565543071161054,0.31081462445134295,0.5904203269929412,False,,,,,,0.0,0
83136,0Gbp9aWNohZ4Kwdi75ntzT,John De Sohn;Rasmus Hagen,Made For You,Love You Better,65,170893,False,0.733,0.785,11,-7.496,1,0.0416,0.0934,0.00135,0.101,0.796,102.987,4,progressive-house,0.7563015171425158,0.7862321397961137,0.8138041733547353,0.3885242850194845,0.7854459434311215,False,,,1.0,1.0,0.5,0.0,0
2660,5d9RSSwDvlTyuwfmeafUah,Phil Wickham,Living Hope,Living Hope,55,327000,False,0.292,0.535,3,-6.892,1,0.0393,0.0355,0.0,0.0977,0.316,143.949,4,alt-rock,0.22948273802413088,0.5341473989896443,0.30016051364365975,0.634478783257177,0.35459688355247826,False,1346617.0,73.0,288888.0,28935.0,0.21452854484345227,1.346617,0
78411,5QPMzfhQBjkBgkGQnXu83D,Honk!,Joana,Joana,29,196830,False,0.641,0.914,2,-2.207,1,0.0852,0.0956,0.0,0.00925,0.792,130.08,4,party,0.6463982797754151,0.916307866052252,0.8095238095238096,0.5512029926205244,0.7907433184504923,False,897.0,22.0,913.0,319.0,1.0167037861915367,0.000897,0
52859,1mgfms0E0uJhULWwqMcqtI,Hank Williams,The Ultimate Collection,First Year Blues,11,146600,False,0.718,0.27,4,-13.928,1,0.0591,0.968,0.0,0.23,0.663,120.192,4,honky-tonk,0.7383825110500537,0.2669375737347867,0.6714820759764581,0.49183093855640886,0.5589340535870996,False,1074563.0,57.0,17211.0,5722.0,0.016016728645292418,1.074563,0
46737,2MqQOhpubuokVRHIQCh0m5,Neophyte,Not Enough Middle Fingers,A Way Of Life,18,326485,True,0.723,0.716,8,-11.396,1,0.0786,0.13,0.518,0.0745,0.414,167.522,4,happy,0.7443555130808743,0.7166567513335281,0.40502942750133764,0.7760218081816708,0.6220138973052468,False,77069.0,43.0,3884.0,1391.0,0.05039574412871416,0.077069,0
103626,1V84nWUcaKN1j3vYvxfd5t,Rick James;Teena Marie,Un tecito y a mimir,Fire And Desire,0,436533,False,0.385,0.458,1,-9.5,1,0.0361,0.287,7.43e-05,0.108,0.136,134.673,3,soul,0.34058057579739576,0.45650529882125174,0.10754414125200644,0.5787814558402335,0.3015433386235513,False,,,37.0,11.0,18.5,0.0,0
29859,2zhqm7h2RiyPuG0L5cAqN7,Animadrop,Stuck in a Timeloop,Stuck in a Timeloop,41,416210,False,0.48,0.903,7,-3.262,1,0.191,0.294,0.00278,0.202,0.188,95.063,4,dubstep,0.45406761438298887,0.9052161374567673,0.16318887105403962,0.3409449811760326,0.5074908742979319,False,19775.0,35.0,55989.0,8475.0,2.8311589805825244,0.019775,0
64660,29aFRSKkk2kYToZF3JgVJC,Julie London,Desayuno en calma,I'm In The Mood For Love,0,149826,False,0.58,0.0545,9,-14.594,0,0.0473,0.963,0.000265,0.0967,0.177,123.341,4,jazz,0.5735276549994026,0.04964052715960997,0.15141787051899414,0.5107389683144894,0.25819535089266893,False,453528.0,59.0,1375640.0,338477.0,3.0331908213146237,0.453528,0
89740,50zpoWMidTPVoCjBBNMfMP,Farina,Perreo Tenebroso Vol. 1,El Problema,0,206173,False,0.535,0.651,0,-3.612,1,0.402,0.0542,0.131,0.0751,0.515,179.795,4,reggaeton,0.5197706367220165,0.6511147187238461,0.5131086142322098,0.8497144881502074,0.5613313232260242,False,4522.0,44.0,1101.0,248.0,0.24342250718549635,0.004522,0
17859,1ylzRbRcouAgM8iZF4SqCK,DJ Flex,Amaka,Amaka,15,188844,False,0.821,0.824,5,-5.971,0,0.0334,0.412,0.871,0.11,0.692,119.006,4,club,0.86142635288496,0.825557359361923,0.7025147137506688,0.48470965456368625,0.7964994753325172,True,39768.0,35.0,1096.0,100.0,0.027559154115014205,0.039768,0
103660,0n4bITAu0Y0nigrz3MFJMb,Robin Thicke;T.I.;Pharrell Williams,Blurred Lines (Deluxe),Blurred Lines,76,263826,False,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,4,soul,0.8996535658822122,0.5986810926361005,0.8640984483681113,0.4906360519505473,0.7874777022954746,False,,,98.0,47.0,49.0,0.0,1
27521,6U3KzIa82ZCKAROmpg7PqT,A.M.C,ENERGY,The End,18,316534,False,0.568,0.995,0,0.651,1,0.216,0.000282,0.213,0.788,0.4,172.021,4,drum-and-bass,0.5591924501254328,0.9979833220735481,0.39004815409309795,0.8030358526026311,0.6490746420973597,False,324494.0,68.0,3719.0,1295.0,0.011460885375737685,0.324494,0
8859,0YZ3J8xzGwLOg4yEgST1YK,Joe Cocker,With A Little Help From My Friends,With A Little Help From My Friends,67,312173,False,0.307,0.43,2,-11.333,1,0.0629,0.288,0.000994,0.0988,0.305,145.224,3,blues,0.247401744116593,0.4282718078509271,0.28838951310861427,0.6421344637721189,0.3213543550253781,False,2622432.0,65.0,1982723.0,445413.0,0.756062404644847,2.622432,0
100411,0hwZcTCXYNTY6zrpWpfmnU,Mad Caddies,Punk Rocksteady,Sorrow,34,208730,False,0.759,0.709,7,-5.392,1,0.0361,0.0912,9.76e-05,0.149,0.96,134.054,4,ska,0.7873611277027834,0.709598378590947,0.989299090422686,0.5750646980059204,0.8287528655721389,False,159465.0,44.0,34428.0,5991.0,0.21589555140280686,0.159465,0
93626,0DbjnobMwfD3rs9zcfCjfQ,Сергей Захаров,20 золотых шедевров романса,Милая,0,159760,False,0.263,0.404,2,-8.402,1,0.0393,0.926,0.00531,0.215,0.226,82.82,1,romance,0.19483932624537093,0.40205499480705437,0.2038523274478331,0.26743243486667106,0.26691554950008617,False,252.0,4.0,16.0,11.0,0.06324110671936758,0.000252,0
72411,2uD8ezTUaLTtoqaXUiWPIR,Periphery,Periphery III: Select Difficulty,Lune,38,467013,False,0.488,0.851,5,-6.146,1,0.0447,0.00208,0.000501,0.0943,0.337,134.99,1,metalcore,0.46362441763230194,0.8527825113690216,0.3226324237560193,0.5806848681721839,0.5463464509191143,False,543068.0,53.0,342297.0,33244.0,0.6303011219568784,0.543068,0
86737,1964zxkJByManoIYrUkSHU,Tihuana,Nova Bis - Tihuana,Tropa De Elite,39,194773,False,0.716,0.881,2,-5.879,1,0.0935,0.0434,0.0,0.0383,0.962,144.324,4,punk,0.7359933102377254,0.8830326802657981,0.9914392723381488,0.6367304539968657,0.8701550876138907,False,519236.0,50.0,466969.0,84707.0,0.8993369116607638,0.519236,0
49411,3UjxmoAp5oSdz3aAh4zcgd,Noisecontrollers;Bass Modulators,Chapter One,See The Light - Radio Edit,50,206515,False,0.44,0.88,0,-5.748,1,0.0911,0.00461,3.23e-05,0.0638,0.297,149.747,4,hardstyle,0.4062835981364233,0.8820243413025721,0.279828785446763,0.6692926151204195,0.5227122416285861,False,,,,,,0.0,0
61626,1aTEygvJz9cA86mzGxJVAT,PASSEPIED,&DNA,スーパーカー,20,264453,False,0.464,0.845,10,-3.791,1,0.0371,0.145,0.0077,0.239,0.662,171.839,4,j-idol,0.4349540078843626,0.8467324775896664,0.6704119850187267,0.8019430417369688,0.6506994901642519,False,74163.0,35.0,7766.0,1461.0,0.10471387735289359,0.074163,0
86859,10lP5x0csV13P1aZyLYADs,Simple Plan,Get Your Heart On! (Deluxe Edition),Last One Standing,55,207293,False,0.498,0.969,9,-3.662,1,0.0747,0.000473,0.000369,0.0627,0.509,167.116,4,punk,0.4755704216939433,0.9717665090296752,0.5066880684858214,0.7735839993275011,0.6513416664031467,False,3957711.0,70.0,603418.0,80490.0,0.15246637451133382,3.957711,0
112678,4wD1Vpnw2jUHs07HeAEeFt,Rota,İblisler,İblisler,39,233379,True,0.688,0.886,11,-5.435,1,0.339,0.115,0.0,0.187,0.667,144.972,4,turkish,0.7025444988651295,0.8880743750819274,0.6757624398073837,0.6406213410350481,0.7554604379181469,False,147126.0,56.0,12523.0,1453.0,0.08511693978671488,0.147126,0
7521,2MgFMPG85DiVFXzO4zx3UD,Greensky Bluegrass,Handguns,Lose My Way,23,444533,False,0.585,0.573,0,-8.096,1,0.0256,0.773,0.409,0.102,0.53,109.374,4,bluegrass,0.5795006570302232,0.5724642795922276,0.5291599785981809,0.4268747410578649,0.5603749717402106,False,225910.0,48.0,7814.0,2654.0,0.03458884250877558,0.22591,0
111513,6qN2alQY36EbEjpBhDP9FE,DJ Shadow,Preemptive Strike,What Does Your Soul Look Like - Pt. 2,42,831400,False,0.638,0.369,7,-12.515,0,0.0693,0.284,0.904,0.104,0.0902,141.923,4,trip-hop,0.6428144785569228,0.3667631310941486,0.058533975387907985,0.6223137568075512,0.3560371950129931,False,697850.0,66.0,20873.0,8655.0,0.02991039634535166,0.69785,0
29626,46DRBgPZrFJKDHHQYIY6OG,ATLiens,Alchemy,Alchemy,51,150000,False,0.738,0.867,8,-5.249,0,0.227,0.0109,0.0825,0.213,0.366,160.066,5,dubstep,0.7622745191733364,0.8689159347806357,0.3536650615302301,0.7312525894213506,0.6616185051614007,False,166294.0,55.0,68718.0,14751.0,0.41322950178898943,0.166294,0
19859,3y4LxiYMgDl4RethdzpmNe,Faith Hill,Breathe,Breathe,67,250546,False,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,4,country,0.5126030342850316,0.49482217942383505,0.25949705724986627,0.5919071951387931,0.42230742365291096,False,1966846.0,66.0,1196233.0,312432.0,0.6081982991051159,1.966846,0
54678,6zJyL9SCOdUmN6nEz33QB7,LFO,Advance,Shut Down,12,290800,False,0.521,0.978,5,-8.833,0,0.0804,0.029,0.957,0.153,0.158,137.242,4,idm,0.5030462310357184,0.9808415596987081,0.13108614232209742,0.5942069015209286,0.5383246443521746,False,170850.0,54.0,43406.0,13746.0,0.2540576291622525,0.17085,0
79136,4uNG9ER2pDOayDd1Wq8Cjq,Elton John;Britney Spears;Purple Disco Machine,Hold Me Closer (Purple Disco Machine Remix),Hold Me Closer - Purple Disco Machine Remix,0,218853,False,0.692,0.842,0,-4.871,1,0.136,0.0506,1.79e-06,0.147,0.777,125.972,4,piano,0.7073229004897861,0.8437074606999887,0.7934724451578385,0.5265366902241464,0.7815009354492045,True,,,,,,0.0,0
55660,7I1nwZimETiRW83xZv023W,Ritviz;Karan Kanchan,Dev,Khamoshi,47,189391,False,0.714,0.666,11,-7.944,1,0.0434,0.00451,0.0001,0.42,0.619,114.95,4,indian,0.7336041094253971,0.6662398031722343,0.6243980738362761,0.4603555838432117,0.6747473288113025,False,,,,,,0.0,0
5737,7AlSUZpdxkzvHJBut5rzjn,Divide Music,Never Enough,Never Enough,52,227428,False,0.513,0.696,7,-6.533,0,0.0336,0.132,3.65e-05,0.117,0.0883,104.952,4,anime,0.4934894277864054,0.6964899720690105,0.05650080256821831,0.4003230396954541,0.4154934008078781,False,122702.0,53.0,26043.0,1917.0,0.21224419940832742,0.122702,0
39859,4fkFsB17kyzq27QhOVt19V,Neptunica;Matthew Clanton,Love Is Gone,Love Is Gone,65,157894,False,0.629,0.815,7,-6.046,1,0.0683,0.016,0.000153,0.236,0.185,152.014,4,german,0.6320630749014453,0.8164823086928901,0.15997859818084537,0.6829047152987517,0.5361746605917269,False,,,,,,0.0,0
113737,5FQxCrphg2xjAhNzUXRQxc,Hillsong Worship,There Is More,Lettered Love - Live,40,222733,False,0.333,0.52,0,-9.746,1,0.0315,0.182,6.28e-06,0.673,0.259,91.983,4,world-music,0.27846135467686056,0.5190223145412561,0.2391653290529695,0.32245125883405495,0.3455496660903621,False,7336365.0,76.0,9475.0,2013.0,0.0012915113558947305,7.336365,0
57521,11BUFxLtMAVUtJaTnNK8Ey,JVKE;ILLENIUM;NURKO,golden hour (ILLENIUM & NURKO Remix),golden hour - ILLENIUM & NURKO Remix,57,201904,False,0.453,0.771,1,-4.382,0,0.0341,0.046,0.0,0.159,0.0754,126.003,4,indie,0.4218134034165571,0.7721153943109514,0.04269662921348315,0.5267228283386274,0.41220847564699725,False,,,,,,0.0,0
68859,5q2JbCNi4FcnglgPfxcV65,Anuel AA;Daddy Yankee;Zion & Lennox;Farruko;Wisin,Sola (Remix),Sola (Remix),78,307910,False,0.639,0.869,11,-4.024,1,0.147,0.27,0.0,0.0802,0.767,169.801,4,latino,0.6440090789630868,0.8709326127070874,0.7827715355805245,0.7897059618236733,0.7659044090835664,False,,,,,,0.0,1
41737,5xX58ok24goewnuvic3Q4m,Timo Räisänen,...And Then There Was Timo,You Shook Me All Night Long,21,240093,False,0.585,0.232,7,-10.912,1,0.0287,0.866,0.0,0.0657,0.12,135.878,4,goth,0.5795006570302232,0.2286206931322033,0.09042268592830392,0.5860168244837669,0.2995146786969101,False,26765.0,32.0,31030.0,7354.0,1.1593065829784055,0.026765,0
44136,2o4AknH1hXnleCRW2rH45w,Alter Bridge,Blackbird,Blackbird,57,478133,False,0.279,0.806,6,-4.714,0,0.0448,0.00499,0.0126,0.116,0.132,149.463,3,grunge,0.21395293274399713,0.8074072580238573,0.10326377742108082,0.6675873498135616,0.3748746560629784,False,1247490.0,63.0,1971143.0,228499.0,1.580085948515861,1.24749,0
83660,273n4aGEPcL1HrcdhpGGul,KSHMR;NOUMENN,Around The World (feat. NOUMENN),Around The World (feat. NOUMENN),45,199017,False,0.582,0.863,5,-4.067,1,0.0356,0.0334,1.42e-05,0.371,0.333,112.073,4,progressive-house,0.5759168558117309,0.8648825789277322,0.3183520599250937,0.44308076592831874,0.5863838315548523,False,,,,,,0.0,0
52513,0ql727m0Dm5hszWIsI1BwX,Hank Williams,The Immortal,Pan American,13,170800,False,0.581,0.427,4,-10.369,1,0.0325,0.734,0.000809,0.0809,0.797,85.724,4,honky-tonk,0.5747222554055667,0.4252467909612495,0.8148742643124667,0.2848693730748216,0.6049477702264277,False,1074563.0,57.0,42088.0,14998.0,0.039167513521763245,1.074563,0
113660,6jAAYLKxXPyeEoddXu6Gf7,Tenth Avenue North,The Struggle,Worn,50,244120,False,0.51,0.42,6,-8.014,1,0.0312,0.384,0.0,0.102,0.19,125.898,4,world-music,0.489905626567913,0.41818841821866837,0.16532905296950245,0.5260923605315144,0.3578076992520279,False,566830.0,52.0,120759.0,18116.0,0.21304233536980158,0.56683,0
